Вопрос,Правильный,Неверный1,Неверный2,Неверный3,Картинка
Какая планета Солнечной системы находится ближе всего к Солнцу?,Меркурий,Венера,Земля,Марс,mercury.jpg
Как называется ближайшая к Земле звезда (не считая Солнца)?,Проксима Центавра,Сириус,Альфа Центавра,Бетельгейзе,proxima_centauri.jpg
Сколько минут требуется солнечному свету чтобы достичь Земли?,8 минут,18 минут,1 минута,1 час,sun_earth_light.jpg
Как называется галактика в которой мы живем?,Млечный Путь,Туманность Андромеды,Треугольник,Большое Магелланово Облако,milky_way.jpg
Какая планета известна своими ярко выраженными кольцами?,Сатурн,Юпитер,Уран,Нептун,saturn_rings.jpg
Кто был первым человеком ступившим на Луну?,Нил Армстронг,Юрий Гагарин,Базз Олдрин,Майкл Коллинз,neil_armstrong.jpg
Как называется явление когда Луна полностью закрывает Солнце?,Солнечное затмение,Лунное затмение,Суперлуние,Кольцеобразное затмение,solar_eclipse.jpg
Какой объект считается карликовой планетой и раньше был девятой планетой?,Плутон,Эрида,Нептун,Церера,pluto.jpg
Какая планета является самой большой в Солнечной системе?,Юпитер,Сатурн,Нептун,Уран,jupiter.jpg
Как называется ближайший к Земле крупный астероид (иногда видимый невооруженным глазом)?,Веста,Церера,Паллада,Юнона,vesta_asteroid.jpg
Как называется комета которая возвращается к Солнцу каждые 75-76 лет?,Комета Галлея,Комета Хейла-Боппа,Комета Шумейкеров-Леви 9,Комета Энке,halley_comet.jpg
Какая вторая космическая скорость для Земли?,11.2 км/с,7.9 км/с,16.7 км/с,3.0 км/с,earth_escape_velocity.jpg
Как называется естественный спутник Земли?,Луна,Фобос,Деймос,Европа,moon.jpg
В каком году был запущен первый искусственный спутник Земли «Спутник-1»?,1957,1961,1945,1969,sputnik.jpg
Какое созвездие на небе легко узнать по «ковшу» из семи ярких звезд?,Большая Медведица,Малая Медведица,Кассиопея,Орион,big_dipper.jpg
Как называется самая яркая звезда на ночном небе (после Солнца)?,Сириус,Канопус,Арктур,Вега,sirius.jpg
Где находится Большое Красное Пятно?,На Юпитере,На Марсе,На Сатурне,На Солнце,great_red_spot.jpg
Кто был первой женщиной-космонавтом?,Валентина Терешкова,Светлана Савицкая,Салли Райд,Пегги Уитсон,valentina_tereshkova.jpg
Как называется ближайшая к нам крупная галактика?,Туманность Андромеды,Магелланово облако,Галактика Водоворот,Галактика Сомбреро,andromeda.jpg
Из какого состояния вещества состоит Солнце?,Плазма,Газ,Жидкость,Твердое тело,sun_plasma.jpg
Как называется траектория движения планеты вокруг звезды?,Орбита,Экватор,Ось,Афелий,orbit.jpg
Как называется падающая звезда (сгорающая в атмосфере)?,Метеор,Метеорит,Метеороид,Астероид,meteor.jpg
